format_start,format_end,sport,competition_type,competition_tier,competition_name,competition_structure,qualification_structure,division_name,organisation_name,association_name,clubs,clubs_including_qualifying_rounds,qualification_spots,entry_format,player_type,competition_format,venue_format,semis_venue_format,finals_venue_format,competition_playoffs,uneven_team_format,match_format,draw_format,add_draw_fromat,finals_format,finals_draw_format,finals_add_draw_fromat,score_try,score_conversion,score_drop_goal,score_penalty_goal,ranking_format,win,draw,loss,tiebreaker_title,promotion,tiebreaker_promotion,promotion_format,relegation,relegation_format
1935,1936,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1935,1936,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1937,1937,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,30,30,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1937,1938,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1937,1938,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1937,1938,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1938,1938,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,30,30,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1938,1938,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,15,15,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1945,1945,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,27,27,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1945,1962,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1945,1945,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,15,15,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1945,1945,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,12,12,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1945,1945,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,13,13,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1945,1945,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,13,13,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1946,1947,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,28,28,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1946,1946,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1946,1973,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1946,1950,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1946,1950,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1947,1947,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1948,1950,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,29,29,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1948,1953,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1951,1951,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,31,31,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1951,1954,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1951,1961,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1952,1953,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,30,30,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1954,1954,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,31,31,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1954,1954,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1955,1955,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,30,30,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1955,1956,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,15,15,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1955,1961,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1956,1961,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,30,30,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1957,1968,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1962,1962,rugby_league,league,1,Rugby Football League Championship,two_divisions,top_16_previous_season,First Division,Rugby Football League,Rugby Football League,16,16,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,2,straight
1962,1962,rugby_league,league,2,Rugby Football League Championship,two_divisions,bottom_14_previous_season,Second Division,Rugby Football League,Rugby Football League,14,14,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,2,none,straight,0,none
1962,1963,rugby_league,league,1,County championship,equal_divisions,none,Western Division,Rugby Football League,Rugby Football League,14,14,0,geography,professional,eight_rounds,first_drawn_preference,none,none,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1962,1963,rugby_league,league,1,County championship,equal_divisions,none,Eastern Division,Rugby Football League,Rugby Football League,16,16,0,geography,professional,eight_rounds,first_drawn_preference,none,none,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1963,1963,rugby_league,league,1,Rugby Football League Championship,two_divisions,none,First Division,Rugby Football League,Rugby Football League,16,16,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,2,straight
1963,1963,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,13,13,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,2,none,straight,0,none
1963,1963,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Rugby Football League,Rugby Football League,31,31,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1964,1972,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,30,30,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_sixteen,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1964,1973,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1964,1969,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1964,1969,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1969,1970,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1971,1973,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1971,1973,rugby_league,cup,1,Player's No.6 Trophy,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1973,1973,rugby_league,league,1,Rugby Football League Championship,two_divisions,top_16_previous_season,First Division,Rugby Football League,Rugby Football League,16,16,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,4,straight
1973,1973,rugby_league,league,2,Rugby Football League Championship,two_divisions,bottom_14_previous_season,Second Division,Rugby Football League,Rugby Football League,14,14,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,4,none,straight,0,none
1974,1980,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1974,1980,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1974,1982,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1974,1982,rugby_league,league,1,Rugby Football League Championship,two_divisions,none,First Division,Rugby Football League,Rugby Football League,16,16,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,1,2,points,2,1,0,none,0,none,none,4,straight
1974,1979,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,14,14,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,1,2,points,2,1,0,none,4,none,straight,0,none
1974,1974,rugby_league,cup,1,Rugby League Premiership,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1974,1976,rugby_league,cup,1,Player's No.6 Trophy,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1975,1982,rugby_league,cup,1,Rugby League Premiership,three_rounds,top_eight,,Rugby Football League,Rugby Football League,8,8,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1977,1980,rugby_league,cup,1,John Player Trophy,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1980,1980,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,15,15,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,1,2,points,2,1,0,none,4,none,straight,0,none
1981,1982,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,17,17,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,3,2,1,2,points,2,1,0,none,4,none,straight,0,none
1981,1982,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1981,1982,rugby_league,cup,1,Challenge Cup,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,33,1,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1981,1982,rugby_league,cup,1,John Player Trophy,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,33,1,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,1,2,none,0,0,0,none,0,none,none,0,none
1983,1983,rugby_league,league,1,Rugby Football League Championship,two_divisions,none,First Division,Rugby Football League,Rugby Football League,16,16,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,0,none,none,4,straight
1983,1983,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,18,18,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,4,none,straight,0,none
1983,1994,rugby_league,cup,1,Rugby League Premiership,three_rounds,top_eight,,Rugby Football League,Rugby Football League,8,8,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1983,1983,rugby_league,cup,1,Challenge Cup,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,34,2,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1983,1983,rugby_league,cup,1,John Player Special Trophy,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,34,2,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1983,1988,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1983,1984,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1984,1984,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,20,20,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,4,none,straight,0,none
1984,1985,rugby_league,cup,1,Challenge Cup,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,36,4,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1984,1984,rugby_league,cup,1,John Player Special Trophy,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,38,6,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1985,1986,rugby_league,league,1,Rugby Football League Championship,two_divisions,none,First Division,Rugby Football League,Rugby Football League,16,16,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,0,none,none,3,straight
1985,1986,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,18,18,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,3,none,straight,0,none
1985,1988,rugby_league,cup,1,John Player Special Trophy,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,36,4,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1985,1985,rugby_league,cup,1,Yorkshire Cup,four_rounds,preliminary_round,,Rugby Football League,Rugby Football League,16,17,1,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1986,1990,rugby_league,cup,1,Yorkshire Cup,four_rounds,preliminary_round,,Rugby Football League,Rugby Football League,16,18,2,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1986,1988,rugby_league,cup,1,Challenge Cup,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,38,6,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1987,1990,rugby_league,league,1,Rugby Football League Championship,two_divisions,none,First Division,Rugby Football League,Rugby Football League,14,14,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,0,none,none,3,straight
1987,1988,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,20,20,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,3,none,straight,0,none
1989,1990,rugby_league,league,2,Rugby Football League Championship,two_divisions,none,Second Division,Rugby Football League,Rugby Football League,21,21,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,3,none,straight,0,none
1989,1989,rugby_league,cup,1,Challenge Cup,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,36,4,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1989,1991,rugby_league,cup,1,Regal Trophy,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,38,6,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1989,1991,rugby_league,cup,1,Lancashire Cup,four_rounds,preliminary_round,,Rugby Football League,Rugby Football League,16,17,1,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1990,1991,rugby_league,cup,1,Challenge Cup,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,38,6,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1991,1992,rugby_league,league,1,Rugby Football League Championship,three_divisions,none,First Division,Rugby Football League,Rugby Football League,14,14,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,0,none,none,2,straight
1991,1992,rugby_league,league,2,Rugby Football League Championship,three_divisions,none,Second Division,Rugby Football League,Rugby Football League,8,8,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,2,none,straight,2,straight
1991,1991,rugby_league,league,3,Rugby Football League Championship,three_divisions,none,Third Division,Rugby Football League,Rugby Football League,14,14,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,2,none,straight,0,none
1991,1991,rugby_league,cup,1,Yorkshire Cup,four_rounds,preliminary_round,,Rugby Football League,Rugby Football League,16,19,3,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1992,1992,rugby_league,league,3,Rugby Football League Championship,three_divisions,none,Third Division,Rugby Football League,Rugby Football League,13,13,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,none,none,single_leg,none,none,none,none,none,4,2,1,2,points,2,1,0,none,2,none,straight,0,none
1992,1992,rugby_league,cup,1,Yorkshire Cup,four_rounds,preliminary_round,,Rugby Football League,Rugby Football League,16,18,2,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1992,1992,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,two_legs_first_round,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
1992,1992,rugby_league,cup,1,Challenge Cup,five_rounds,preliminary_round,,Rugby Football League,Rugby Football League,32,35,3,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,4,2,1,2,none,0,0,0,none,0,none,none,0,none
