occupation,count,corrected_occupation
Looking for Work,1,Looking for Work
Travelling from House to House Colling Alone,1,Travelling from House to House Colling Alone
Pensioner (Soldier),1,Pensioner Soldier
Kitchen-Maid Domestic Ser,1,Kitchen Maid Domestic Ser
Tinkers Son,1,Tinkers Son
Scholars Receving Instruction,1,Scholars Receving Instruction
Domestic Farm,1,Domestic Farm
Agricu Labourers,1,Agricu Labourers
Aug. Labourer,1,Aug. Labourer
Fathers Assistant,1,Fathers Assistant
Grocer and General Dealers Daughter,1,Grocer and General Dealers Daughter
Laundress Indoor,1,Laundress Indoor
Brewry Labouryer,1,Brewry Labouryer
Groom Domestic Sernt,1,Groom Domestic Sernt
? Groom,1,? Groom
Professor of Mental and Social Science Queen's College Cork Barrister at Law not in Practice,1,Professor of Mental and Social Science Queen's College Cork Barrister at Law not in Practice
Horse Dealing,1,Horse Dealing
Tinkers Daughter,1,Tinkers Daughter
All Farmer's,1,All Farmer's
Road Loader Labourer,1,Road Loader Labourer
F Servant Unemployed,1,F Servant Unemployed
Cater in Mill Spining,1,Cater in Mill Spining
D.L. Weaver,1,D.L. Weaver
Assistent Grocer,1,Assistent Grocer
Reverter,1,Reverter
Magistrate County Down,1,Magistrate County Down
Dress Mender (Flossery),1,Dress Mender Flossery
Asst Supt G I O Dublin Superannuated,1,Asst Supt G I O Dublin Superannuated
Cab Owener,1,Cab Owener
Heraldie Artist,1,Heraldie Artist
Medical Student Junior Bachelor T C D,1,Medical Student Junior Bachelor T C D
Music Techer,1,Music Techer
Retired Stack Broker Gentleman,1,Retired Stack Broker Gentleman
Army Pensioner Royal Engineers Tempory Civil Asst Ordnance Survey,1,Army Pensioner Royal Engineers Tempory Civil Asst Ordnance Survey
Agricultural Labaror,1,Agricultural Labaror
Railway Servt Fireman,1,Railway Servt Fireman
Dean of Kilmore,1,Dean of Kilmore
Industrial Teacher N School,1,Industrial Teacher N School
Printer-Copper Plate,1,Printer Copper Plate
Apprintice Slater,1,Apprintice Slater
3rd Class Clerk I Land Commission,1,3rd Class Clerk I Land Commission
Photo Graphy,1,Photo Graphy
Heaver Jute,1,Heaver Jute
Domestic Servant Coachman and C,1,Domestic Servant Coachman and C
R. Auxiliary Postman,1,R. Auxiliary Postman
Physician and Surgeon Practcsing,1,Physician and Surgeon Practcsing
Apottiecarier Assistant,1,Apottiecarier Assistant
Inmate of Mayeongh Home,1,Inmate of Mayeongh Home
Perviour,1,Perviour
Doctor of Divisions and Canon,1,Doctor of Divisions and Canon
Hpfs Stamper,1,Hpfs Stamper
L L.D. Barrister at Law (Practising),1,L L.D. Barrister at Law Practising
Stationer ?,1,Stationer ?
A.B. R.U.I,1,A.B. R.U.I
Under Grad. R U.I.,1,Under Grad. R U.I.
Retired Sailor Farmer,1,Retired Sailor Farmer
Lieut Colonel Retired R A,1,Lieut Colonel Retired R A
Lieut Monaghan Militia,1,Lieut Monaghan Militia
Spiner in Flax Mills,1,Spiner in Flax Mills
Draughtsman Apprentice,1,Draughtsman Apprentice
Ingenear Labourer,1,Ingenear Labourer
Digele Machnic,1,Digele Machnic
Clerk Station?,1,Clerk Station?
Milliner and Shop Asst,1,Milliner and Shop Asst
How W,1,How W
Howle,1,Howle
Viscount Inger Militia,1,Viscount Inger Militia
Captain Militia,1,Captain Militia
Farrery,1,Farrery
Income From Dividends Gent,1,Income From Dividends Gent
Book dealer,1,Book dealer
Unemployed Carman,1,Unemployed Carman
Railway Stones Suft,1,Railway Stones Suft
Farmer and RIC Pensioner,1,Farmer and RIC Pensioner
General Carter and Van Driver,1,General Carter and Van Driver
Ci?oresse Maker,1,Ci?oresse Maker
Office Apprentice (Jeweller's),1,Office Apprentice Jeweller's
Office Apprentice (Hardware),1,Office Apprentice Hardware
B A Graduate Royal University Secretary,1,B A Graduate Royal University Secretary
Sub Laundry Matron,1,Sub Laundry Matron
Metal Layer,1,Metal Layer
"Principal of Intermediate School, Inspt house from R.U.I Ex Sub. RCh.",1,"Principal of Intermediate School, Inspt house from R.U.I Ex Sub. RCh."
Stoper on Railway Engine,1,Stoper on Railway Engine
General Farm Helper,1,General Farm Helper
Sexton Irish Church,1,Sexton Irish Church
Assistant of Farm,1,Assistant of Farm
Manager of Bleach Works,1,Manager of Bleach Works
Clerk of Petty Sessions and Comnr of Affidavets,1,Clerk of Petty Sessions and Comnr of Affidavets
Living or Incom from House Property,1,Living or Incom from House Property
Late Examining Off H. M. C,1,Late Examining Off H. M. C
Dealer Mecthenous,1,Dealer Mecthenous
Capt. Merchant Service,1,Capt. Merchant Service
Receiving Pat Home,1,Receiving Pat Home
Asst Secretary Y.M.C A.,1,Asst Secretary Y.M.C A.
Drugist Clerk,1,Drugist Clerk
General Useful Man,1,General Useful Man
Fancy Buyer,1,Fancy Buyer
Tea and General Merchant,1,Tea and General Merchant
Salvation Army Lient,1,Salvation Army Lient
Physician LRCP Ed LRCS Ed,1,Physician LRCP Ed LRCS Ed
Information Refused MC,1,Information Refused MC
Teacher M A,1,Teacher M A
Milwright and Engineer,1,Milwright and Engineer
Surgeon Oculist M.Ch. Dublin and R.C.S.I.,1,Surgeon Oculist M.Ch. Dublin and R.C.S.I.
Lt. Colonel Retired,1,Lt. Colonel Retired
Landed Gentleman Justice of the Peace,1,Landed Gentleman Justice of the Peace
Dentist B A M B,1,Dentist B A M B
Menerataralin Work,1,Menerataralin Work
Green Grocer Master,1,Green Grocer Master
Plates Helper,1,Plates Helper
Farm Laboure's Widow,1,Farm Laboure's Widow
Routterer,1,Routterer
Solicisor,1,Solicisor
Secretary of Limited Coy Linen Business,1,Secretary of Limited Coy Linen Business
W Factory Winder,1,W Factory Winder
Coastguard Wife,1,Coastguard Wife
See and Mgr Gas Works,1,See and Mgr Gas Works
Clerk Wholesale Warehouse,1,Clerk Wholesale Warehouse
Shoe Merchant,1,Shoe Merchant
Shoe Merchant and Weaving Agent,1,Shoe Merchant and Weaving Agent
Coal Haugher,1,Coal Haugher
Master Watchmaker,1,Master Watchmaker
Sergant,1,Sergant
Hall boy Domestic Servant,1,Hall boy Domestic Servant
Machanical Dentist,1,Machanical Dentist
Reelor of Ardkeen,1,Reelor of Ardkeen
Druggists-Packer,1,Druggists Packer
"J.P., B.A., and Houses Land",1,"J.P., B.A., and Houses Land"
Physician not Practising M.D. and M.Ch.T.C.D.,1,Physician not Practising M.D. and M.Ch.T.C.D.
Retired Army Servt Colonel J.P. for Co Cork,1,Retired Army Servt Colonel J.P. for Co Cork
No Occupation From Dividends and Savings Bank Retired Grocer,1,No Occupation From Dividends and Savings Bank Retired Grocer
F Polishr,1,F Polishr
Annutiant,1,Annutiant
Surgeon Dentist M.P.S.W.D.,1,Surgeon Dentist M.P.S.W.D.
Annuantence,1,Annuantence
Retired H.M.C.,1,Retired H.M.C.
City Corporation Laborour,1,City Corporation Laborour
Paroptietor in Line Factory,1,Paroptietor in Line Factory
Martin Master in Linen Factory,1,Martin Master in Linen Factory
Printer-Compoistor,1,Printer Compoistor
Works at Auster in Marine Stone,1,Works at Auster in Marine Stone
Vice Folder in Linen Wareroom,1,Vice Folder in Linen Wareroom
Fireman Spinning Mill,1,Fireman Spinning Mill
Agl. N. S. Constabulary,1,Agl. N. S. Constabulary
Gardiner and Coachman Domestic Servant,1,Gardiner and Coachman Domestic Servant
Commercial in Whisky Trade,1,Commercial in Whisky Trade
L R C P Ed L K C S I Physician and C,1,L R C P Ed L K C S I Physician and C
Student of Medicin,1,Student of Medicin
Apprentice Carpentery,1,Apprentice Carpentery
Furniture Manufacture and Removal Storage Contractor,1,Furniture Manufacture and Removal Storage Contractor
B a,1,B a
Solicitors Clerk Unemployed,1,Solicitors Clerk Unemployed
Clerk and Pensioner Royal Artillery,1,Clerk and Pensioner Royal Artillery
Gardener Domes Ser,1,Gardener Domes Ser
Commercial Traveller Grocering,1,Commercial Traveller Grocering
Cook Dst Servant,1,Cook Dst Servant
Linen Labourer in Bleach and Dye Works,1,Linen Labourer in Bleach and Dye Works
Fireman in Marine Stone,1,Fireman in Marine Stone
H Sewing,1,H Sewing
Clerk in Wholesale Whisky Merchant,1,Clerk in Wholesale Whisky Merchant
Manfacturing Stationer,1,Manfacturing Stationer
Printer (Embroidery),1,Printer Embroidery
Works at Flock in Marine Stone,1,Works at Flock in Marine Stone
Practitioner of Cheirosophy or Palmistry,1,Practitioner of Cheirosophy or Palmistry
Masons' Labourer,1,Masons' Labourer
Mastr Baker,1,Mastr Baker
Accountant's Clark,1,Accountant's Clark
Housemaid Domc Sev,1,Housemaid Domc Sev
Linen Weaver and Grocer,1,Linen Weaver and Grocer
Muslin Finisher in Wareroom,1,Muslin Finisher in Wareroom
Embroidire,1,Embroidire
Commercial Traveller Oil Colors Glass Groceriers and Drugs,1,Commercial Traveller Oil Colors Glass Groceriers and Drugs
Lives on Charety,1,Lives on Charety
Wireweaver,1,Wireweaver
Handkerchief Embroider,1,Handkerchief Embroider
Finisher Wareroom,1,Finisher Wareroom
Merchant G.I.P,1,Merchant G.I.P
Labourer Irish,1,Labourer Irish
Civil Servant Second Division clerk G P O Dublin,1,Civil Servant Second Division clerk G P O Dublin
Hd Game Keeper,1,Hd Game Keeper
Labiour Agl,1,Labiour Agl
Apprentice to Brass Founders Agent,1,Apprentice to Brass Founders Agent
(Linen) Preparing Room Overlooker Unemployed,1,Linen Preparing Room Overlooker Unemployed
Grocer and Fancy Goods Merchant,1,Grocer and Fancy Goods Merchant
Civil Service Clerk (Second Division B of Works),1,Civil Service Clerk Second Division B of Works
Lawn Tennis Maker,1,Lawn Tennis Maker
(Winder Mill),1,Winder Mill
Reler in a Mill,1,Reler in a Mill
Physician L R C S and P Tec L M Rot Med Phychcartry,1,Physician L R C S and P Tec L M Rot Med Phychcartry
Contractors Cashier,1,Contractors Cashier
M A Tiru Coll Dub Head Master of School,1,M A Tiru Coll Dub Head Master of School
Coachman in Funeral Undertaken,1,Coachman in Funeral Undertaken
? Yarn Winder,1,? Yarn Winder
Fireman in Elictric Works,1,Fireman in Elictric Works
B.A. of I.C.D. Solicitor,1,B.A. of I.C.D. Solicitor
D.M.P. Dublin and Farmer,1,D.M.P. Dublin and Farmer
Pensioner From the D.M Police and Farmer,1,Pensioner From the D.M Police and Farmer
M G R A Rly Engine Driver,1,M G R A Rly Engine Driver
Bakers' Engineer and Machinist,1,Bakers' Engineer and Machinist
Sub Mgr and Asst of Bank,1,Sub Mgr and Asst of Bank
General Lablour Unemployed,1,General Lablour Unemployed
"House Keeper, Domestic Servt",1,"House Keeper, Domestic Servt"
Messenger Town Hall,1,Messenger Town Hall
Embriodry Worker,1,Embriodry Worker
Coal Merchant and Grocer,1,Coal Merchant and Grocer
Schylor,1,Schylor
Iron Dressar,1,Iron Dressar
Matron Industrial School,1,Matron Industrial School
Mill Employ General Labourer,1,Mill Employ General Labourer
Shop Messeng Boy,1,Shop Messeng Boy
(Whinny) Commercial Traveller,1,Whinny Commercial Traveller
B.A. of R.U.I.,1,B.A. of R.U.I.
Civil Servant Local Govt Board,1,Civil Servant Local Govt Board
Farmer and Letter-Carrier,1,Farmer and Letter Carrier
Carriag Trunnur,1,Carriag Trunnur
T P Landed Proprietor Farmer,1,T P Landed Proprietor Farmer
Bundlier,1,Bundlier
House - wife,1,House wife
Flax Work,1,Flax Work
Woollen and Cotton Weaver,1,Woollen and Cotton Weaver
Recieves Income Land Houses Devidends,1,Recieves Income Land Houses Devidends
Vocolist,1,Vocolist
Cheif Warder,1,Cheif Warder
Nurse Manchester Regt,1,Nurse Manchester Regt
Secretary National Gallen of Ireland,1,Secretary National Gallen of Ireland
Student of Medicine in Royal College of Surgeons,1,Student of Medicine in Royal College of Surgeons
Income from homes dividends etc,1,Income from homes dividends etc
Wife of Above ?,1,Wife of Above ?
In Wareroom Manager,1,In Wareroom Manager
Pensioner R. I. C. and Teacher ? School,1,Pensioner R. I. C. and Teacher ? School
Army Pensioner and Gamekeeper,1,Army Pensioner and Gamekeeper
Electrotyper,1,Electrotyper
I.P. for the Boraugh of Dublin Pensioner from G.P.O. Do and Income from House Property,1,I.P. for the Boraugh of Dublin Pensioner from G.P.O. Do and Income from House Property
House maid Unemployed,1,House maid Unemployed
Agricull Shepherd,1,Agricull Shepherd
G?mor H.M Prison Clonmel,1,G?mor H.M Prison Clonmel
Spinster F,1,Spinster F
Warper in Woollen Mill,1,Warper in Woollen Mill
Grocrs,1,Grocrs
Grocer's Van Driver,1,Grocer's Van Driver
Under Graduate Medical Student H D,1,Under Graduate Medical Student H D
Corporation Inspector of Streets,1,Corporation Inspector of Streets
Retired District Inspector R. I. C.,1,Retired District Inspector R. I. C.
General Rent,1,General Rent
Locomotve Fireman Railway,1,Locomotve Fireman Railway
Independent means,1,Independent means
Independent of Schools,1,Independent of Schools
Naval Store Labourer,1,Naval Store Labourer
Apprentice to Ten Trade,1,Apprentice to Ten Trade
Assist Bakery Manager,1,Assist Bakery Manager
Manager of Coffee Stand,1,Manager of Coffee Stand
Linen Cloth Office,1,Linen Cloth Office
Linen Poor Loom Weaver,1,Linen Poor Loom Weaver
Provison Shop Merchant,1,Provison Shop Merchant
Cattle D?r,1,Cattle D?r
Color Panter,1,Color Panter
Window Show Maker,1,Window Show Maker
Sub Manager Bacon Factory,1,Sub Manager Bacon Factory
Private Gent,1,Private Gent
Clerk in Fancy Fare,1,Clerk in Fancy Fare
Civil Engineers,1,Civil Engineers
Heard and Yardsman,1,Heard and Yardsman
Methodist Minister Undergraduate I.C.D.,1,Methodist Minister Undergraduate I.C.D.
Waver Mill,1,Waver Mill
Hotel Car Driver,1,Hotel Car Driver
Messenger - Boy,1,Messenger Boy
Apprentice-Book-Keeper,1,Apprentice Book Keeper
Capenter and Builder,1,Capenter and Builder
Col: Rerired I.P. Co Wexford,1,Col: Rerired I.P. Co Wexford
Lady or Dame,1,Lady or Dame
Land Agent Retired ? Officer,1,Land Agent Retired ? Officer
Barte Barrister at Law not in Practice Retired Militea Officer,1,Barte Barrister at Law not in Practice Retired Militea Officer
Retired Teacher of School,1,Retired Teacher of School
Gentle Man I.P.,1,Gentle Man I.P.
Res by in a Minister,1,Res by in a Minister
Superannuated Sergt of R. Constabulary and Boarding-House Keeper,1,Superannuated Sergt of R. Constabulary and Boarding House Keeper
Book Cover Cutter,1,Book Cover Cutter
Farmers-Daugher in Law,1,Farmers Daugher in Law
Gentleman I.P.,1,Gentleman I.P.
Musical Instruments Maker,1,Musical Instruments Maker
Mate on Dredger,1,Mate on Dredger
Apprentice Engine Fitter at H and W,1,Apprentice Engine Fitter at H and W
Workmistress in N. Schl.,1,Workmistress in N. Schl.
Factory Manager (Carpet),1,Factory Manager Carpet
Bar Boy-Domestic Servant,1,Bar Boy Domestic Servant
Clerk Financiers Pensioner Royal Duty,1,Clerk Financiers Pensioner Royal Duty
Bricklayers Labourer Unemployment,1,Bricklayers Labourer Unemployment
Domestic Servant (Farm,1,Domestic Servant Farm
Office Apprtice,1,Office Apprtice
Secretary to Limited Company Seedness Church,1,Secretary to Limited Company Seedness Church
Machine Apprentice,1,Machine Apprentice
Woollen Buyer Unemployed,1,Woollen Buyer Unemployed
Linnen Handkerchief Trade,1,Linnen Handkerchief Trade
Salesman Linen Business,1,Salesman Linen Business
Teacher Methodist College,1,Teacher Methodist College
Silver Choser,1,Silver Choser
Unemployed Apprentice Draper,1,Unemployed Apprentice Draper
Insistant,1,Insistant
Farmers Deaughter,1,Farmers Deaughter
Temporary Sorting Clerk,1,Temporary Sorting Clerk
N.S. Moniter,1,N.S. Moniter
Clerk- Bakery,1,Clerk Bakery
Mechanics in Wareroom,1,Mechanics in Wareroom
Sailor.Umeployed,1,Sailor.Umeployed
General Clerk-Angle American O'dce,1,General Clerk Angle American O'dce
G P O Sorting Clerk,1,G P O Sorting Clerk
Reevitters Helper,1,Reevitters Helper
Prauker,1,Prauker
Letter Press Painters Assistant,1,Letter Press Painters Assistant
Cutter and Manager,1,Cutter and Manager
Boot Closes Retired,1,Boot Closes Retired
Dist Insp R I C,1,Dist Insp R I C
Clerk in a Solicitor Office Johnston of College Green,1,Clerk in a Solicitor Office Johnston of College Green
I.P. Retired Boot Manufacturer,1,I.P. Retired Boot Manufacturer
Ex Chief Inspector Queens Land Police,1,Ex Chief Inspector Queens Land Police
Joiner (Carpenter ),1,Joiner Carpenter
Joiner Apprent,1,Joiner Apprent
Income from Houses and Interest of Money,1,Income from Houses and Interest of Money
Dairy and House Attendant,1,Dairy and House Attendant
Clerk in Holy Rdy,1,Clerk in Holy Rdy
Mother's assistant,1,Mother's assistant
Farmer - Wife,1,Farmer Wife
Major 3rd Bedfordshire Regt,1,Major 3rd Bedfordshire Regt
Student T. C. D,1,Student T. C. D
Clergyman and Rector of Aghee Church of Ireland B A (Dub),1,Clergyman and Rector of Aghee Church of Ireland B A Dub
Principal of Inter. Sch.,1,Principal of Inter. Sch.
Clergyman Chaplain,1,Clergyman Chaplain
Earl of Castlestuart,1,Earl of Castlestuart
Counters of Cattlestuart,1,Counters of Cattlestuart
Presbyterian Minester,1,Presbyterian Minester
Church Sextong's,1,Church Sextong's
"Student, Medicine and Undergraduate Cambridge",1,"Student, Medicine and Undergraduate Cambridge"
P Loom Tenter,1,P Loom Tenter
Store Cutter,1,Store Cutter
Major-Retired from Militier,1,Major Retired from Militier
Fancy Cabinet Maker,1,Fancy Cabinet Maker
Explosive Chemist,1,Explosive Chemist
Overseer of Public Works,1,Overseer of Public Works
Landed Propert,1,Landed Propert
Butter Marchant,1,Butter Marchant
Solicitor-M. A. and L L. B. (T. C. D.),1,Solicitor M. A. and L L. B. T. C. D.
Clergyman General Licence and I P,1,Clergyman General Licence and I P
M. A. (T. C. D.) J. P. D. L.-High Sheriff of Co. Fermanagh,1,M. A. T. C. D. J. P. D. L. High Sheriff of Co. Fermanagh
Dealer in Rabbits,1,Dealer in Rabbits
Majer General Retired List Royal Artilley,1,Majer General Retired List Royal Artilley
Mason's Assistant,1,Mason's Assistant
"Colonel, Retired and I. P. County Clare",1,"Colonel, Retired and I. P. County Clare"
Income Derived from Land (Fee Simples),1,Income Derived from Land Fee Simples
Under Graduate Tim Coll Dub,1,Under Graduate Tim Coll Dub
I P Retired Magor,1,I P Retired Magor
Secretary Coach Council,1,Secretary Coach Council
Late was in Clare Institue Magistrate's Daughter,1,Late was in Clare Institue Magistrate's Daughter
General Practitioner S.R.C T at S.E,1,General Practitioner S.R.C T at S.E
Agent of the Bank of Ireland,1,Agent of the Bank of Ireland
"Gentleman Farmer and I.P. for Clare, and Cork",1,"Gentleman Farmer and I.P. for Clare, and Cork"
Annuitant From Villines ? House,1,Annuitant From Villines ? House
Doctor Gerl Post P R C P X I Practising,1,Doctor Gerl Post P R C P X I Practising
(Horse Dealer),1,Horse Dealer
Magistrate of County Clare Land Agent,1,Magistrate of County Clare Land Agent
Farmer and Landed Proprietor,1,Farmer and Landed Proprietor
Gymnastic Teacher,1,Gymnastic Teacher
Pattern Maker in Eng Work,1,Pattern Maker in Eng Work
Printer Paper Cutter,1,Printer Paper Cutter
Realing Clerk,1,Realing Clerk
Burst Income,1,Burst Income
Retired Officer of Irland Revenue,1,Retired Officer of Irland Revenue
Technical Inspecter (Wood Work),1,Technical Inspecter Wood Work
Fireman or Stoker,1,Fireman or Stoker
Domestis Dutis,1,Domestis Dutis
Thread Polisher in Thread Factory,1,Thread Polisher in Thread Factory
Infant Teacher,1,Infant Teacher
Grocer Ship Keeper,1,Grocer Ship Keeper
Preparer (Flax),1,Preparer Flax
Spreader in Spinnig Mill,1,Spreader in Spinnig Mill
Presbyterian Minisiter (Retired),1,Presbyterian Minisiter Retired
Printers Accountant,1,Printers Accountant
Mistress of the house,1,Mistress of the house
Army Pensioner from 27 Regiment of Foot,1,Army Pensioner from 27 Regiment of Foot
Marine Engine Fitter in Works,1,Marine Engine Fitter in Works
Childrens Maid Dom Ser,1,Childrens Maid Dom Ser
Gentle Woman Late Landed Moments,1,Gentle Woman Late Landed Moments
Principal Clerk-Secys Office G.P.O. Dublin,1,Principal Clerk Secys Office G.P.O. Dublin
Scochman,1,Scochman
Undergraduate R.U of I.,1,Undergraduate R.U of I.
Magistrate and Landowner,1,Magistrate and Landowner
Bank Mgr and Insurance Agent,1,Bank Mgr and Insurance Agent
Coast Guards Wifes,1,Coast Guards Wifes
Donkey Engine Driver,1,Donkey Engine Driver
Wine Packer in Shop,1,Wine Packer in Shop
Porter in Vegetable Mkt,1,Porter in Vegetable Mkt
Assistant Teac,1,Assistant Teac
Homes Maker,1,Homes Maker
Hanay Man,1,Hanay Man
Clerk Darlay Dye Works Dublin,1,Clerk Darlay Dye Works Dublin
F Son. Road contractor,1,F Son. Road contractor
Clerk Tramway Co Dublin,1,Clerk Tramway Co Dublin
Mothers Helps D.S.,1,Mothers Helps D.S.
Volounteer,1,Volounteer
General Practitioner M.D.MCH.Q.U.I,1,General Practitioner M.D.MCH.Q.U.I
Foreman Cloth Finisher,1,Foreman Cloth Finisher
Asst Shoemaker,1,Asst Shoemaker
Farmer and Meteorological Observer,1,Farmer and Meteorological Observer
Barrister (Practice),1,Barrister Practice
Retired school Teacher,1,Retired school Teacher
Gerl Lab and Fisherman,1,Gerl Lab and Fisherman
Clarks Hardware,1,Clarks Hardware
Proprietor of Distillery,1,Proprietor of Distillery
Wool Winder (Not Employed),1,Wool Winder Not Employed
Assisting in Care of House,1,Assisting in Care of House
General Labr and Fisherman,1,General Labr and Fisherman
Hardsman Domestic Servt,1,Hardsman Domestic Servt
Fowler Man,1,Fowler Man
Lady-Clerk Stationery,1,Lady Clerk Stationery
Fettler in Foundery,1,Fettler in Foundery
Labourer in Wollen Mill,1,Labourer in Wollen Mill
Factory Worker-Collare,1,Factory Worker Collare
Foreman once Locomotive Works B. and N. C. Railway,1,Foreman once Locomotive Works B. and N. C. Railway
Labourer Servant Man,1,Labourer Servant Man
Retired Quarryman,1,Retired Quarryman
Svt Cook,1,Svt Cook
Miasanask,1,Miasanask
Aprentice Mouldor,1,Aprentice Mouldor
Roya Irish Constabuly,1,Roya Irish Constabuly
Machine worker Engine shop,1,Machine worker Engine shop
Apprt Engineer,1,Apprt Engineer
Superannuated Sergt from R.I.C,1,Superannuated Sergt from R.I.C
Factory Hand Preparer,1,Factory Hand Preparer
Bank Acct,1,Bank Acct
Yarn Hanger,1,Yarn Hanger
Dom Cook Serv,1,Dom Cook Serv
Qr. Mr. Sergeant East Lancashire Regt Infantry,1,Qr. Mr. Sergeant East Lancashire Regt Infantry
Carver in Wood,1,Carver in Wood
Clerk-Corn Trade,1,Clerk Corn Trade
Pavier's Helper,1,Pavier's Helper
Barrister at law in Actual Practice,1,Barrister at law in Actual Practice
Schoolmaster Prison,1,Schoolmaster Prison
Ticket-Inspector,1,Ticket Inspector
Licenced Driver (Car),1,Licenced Driver Car
Retired R.I.C. Sergt,1,Retired R.I.C. Sergt
Corr Maker,1,Corr Maker
"Auctioneer, House and Insurance Agent",1,"Auctioneer, House and Insurance Agent"
Dmpolice Policeman,1,Dmpolice Policeman
Kings Counsel IP,1,Kings Counsel IP
R.I.C. Pensioners,1,R.I.C. Pensioners
Sergeant Army Pensioner Late 2nd Lane Fusle,1,Sergeant Army Pensioner Late 2nd Lane Fusle
Shorthand typist,1,Shorthand typist
Labourer Factory Manure,1,Labourer Factory Manure
Apprentice to Iron Moulding,1,Apprentice to Iron Moulding
Parlor Maid D.S,1,Parlor Maid D.S
Plate Lawer,1,Plate Lawer
Line Man Apprenties,1,Line Man Apprenties
Houses and Shares,1,Houses and Shares
1st Class Bk Warden asworks,1,1st Class Bk Warden asworks
Com Commsn Agent Drapery,1,Com Commsn Agent Drapery
Professor Undergraduate R U J,1,Professor Undergraduate R U J
Atenden,1,Atenden
Principal ?,1,Principal ?
Farmer's Dagt,1,Farmer's Dagt
Retired Teacher (Music),1,Retired Teacher Music
Domestic D Servant Cook,1,Domestic D Servant Cook
Book Keeper-Corn Merchants,1,Book Keeper Corn Merchants
Irish Poplin Factory Manager,1,Irish Poplin Factory Manager
Living on Out-Door-Relief,1,Living on Out Door Relief
Attendind School,1,Attendind School
Merchant Jeweller,1,Merchant Jeweller
Student-Engineering,1,Student Engineering
Miles Man G S W R,1,Miles Man G S W R
Private Soldier Gr R H,1,Private Soldier Gr R H
Farmers Releifing Office,1,Farmers Releifing Office
Farmers Son and Smith,1,Farmers Son and Smith
Ex Asst Teacher Novd Pensioner,1,Ex Asst Teacher Novd Pensioner
Farmer and Professor of Music,1,Farmer and Professor of Music
Wool Spinning Woman,1,Wool Spinning Woman
Farm Servant and Shopkeeper,1,Farm Servant and Shopkeeper
Armey Pensioner 65 Royal Tigers,1,Armey Pensioner 65 Royal Tigers
Farmer-Cattle Dealer Shopkeeper,1,Farmer Cattle Dealer Shopkeeper
Attending Mason Laubror,1,Attending Mason Laubror
Gunner R G A,1,Gunner R G A
General Taylor,1,General Taylor
General and Servant Domestic,1,General and Servant Domestic
Clerk Stockbrokers,1,Clerk Stockbrokers
Can Read,1,Can Read
Retireed Farmer,1,Retireed Farmer
Farm Sons,1,Farm Sons
Labourer and Coachman,1,Labourer and Coachman
Servant Laundess,1,Servant Laundess
Apprentice Shoemaking,1,Apprentice Shoemaking
Labourer at Gasworks,1,Labourer at Gasworks
Apprentice Harnesmaker,1,Apprentice Harnesmaker
Butter Making and General House Keeping,1,Butter Making and General House Keeping
Ex Hotel Porter,1,Ex Hotel Porter
Pensioner 44 Regd Foot,1,Pensioner 44 Regd Foot
Bus Man D Servant,1,Bus Man D Servant
Paves,1,Paves
Ploughman Farmer's Son,1,Ploughman Farmer's Son
Small Farmer and Labour,1,Small Farmer and Labour
Washerwoman House Keeper,1,Washerwoman House Keeper
House Keeper Help,1,House Keeper Help
Cannot Talk,1,Cannot Talk
Retried Farmer Widow,1,Retried Farmer Widow
Herdsmans-Domestic Servant,1,Herdsmans Domestic Servant
Dealer in Goals,1,Dealer in Goals
Retired Farmers (Wife),1,Retired Farmers Wife
Tramp Steet Singer,1,Tramp Steet Singer
Engine Driver in a Wollen Factory,1,Engine Driver in a Wollen Factory
Agricultural Laubror,1,Agricultural Laubror
Porter of Workhorse,1,Porter of Workhorse
Sectoness,1,Sectoness
Farm Servant (Visiting),1,Farm Servant Visiting
Apprentice Bootmakers,1,Apprentice Bootmakers
Publican and Coach Driver,1,Publican and Coach Driver
Domestic Servant Caretaker,1,Domestic Servant Caretaker
Drapery Aprentice,1,Drapery Aprentice
Licensed Vintuer,1,Licensed Vintuer
Abstractor Agricultural Dept,1,Abstractor Agricultural Dept
Workman's Son,1,Workman's Son
"Labourer's Wife, Housekeeper",1,"Labourer's Wife, Housekeeper"
Pensioner From Prison Ser,1,Pensioner From Prison Ser
Retired Officer of Ind Rev,1,Retired Officer of Ind Rev
Creamery General Labourer,1,Creamery General Labourer
Retired Silver Miner's Wife,1,Retired Silver Miner's Wife
Employed Carting Goods For Hine,1,Employed Carting Goods For Hine
Fishirng,1,Fishirng
Labourer Mine Britios,1,Labourer Mine Britios
Labourer Mill Britios,1,Labourer Mill Britios
Retired 41st Regt,1,Retired 41st Regt
Domestic Dairymaid Servant,1,Domestic Dairymaid Servant
Railway Platelain,1,Railway Platelain
Aarl Labourer,1,Aarl Labourer
"Retired, Dressmaker",1,"Retired, Dressmaker"
Contour Survey,1,Contour Survey
Ex Post Office Official,1,Ex Post Office Official
Soldier Le Sergt,1,Soldier Le Sergt
General Lawllorer,1,General Lawllorer
S Captain,1,S Captain
Housemaid Domestic Gen Servant,1,Housemaid Domestic Gen Servant
Blacksmith in Coach Factory,1,Blacksmith in Coach Factory
Dress Aprientss,1,Dress Aprientss
Mrs Pensioner,1,Mrs Pensioner
Stonecutter Foreman,1,Stonecutter Foreman
Buillders Labourer,1,Buillders Labourer
Scholl Mate,1,Scholl Mate
